technology	D3	D2	D1	C3	C2	C1	B3	B2	B1	A3	A2	A1	label	info	barrier
Composting new waste	1	0	0	0	1	1	0	1	2	0	1	1	11	Recycling and composting reduce the introduction of new waste to landfills. This avoids methane emissions from new organic waste. Composting, or aerobic digestion is s a biological process with compost as final product that can be used for further applications. The emission reduction of composting new waste is about 1 tCO2e/ton per ton of waste, compared to waste emitted originating from a landfill. The estimated abatement potential is: 221 MtCO2e in 2030	Composting new waste requires investments for new machinery. This is however a fairly small investment. The main barriers to implementation arise from the need of support from municipalities to have a recycling system and a place to sell compost in place. This could possibly lead to conflicts and also require a change in behavior. 
Cropland nutrient management	1	0	1	1	0	0	1	1	1	0	0	0	12	Improved nutrient management reducing GHG emissions, by reducing fertilizer-waste, increasing land efficiency and implementing rotational land practices. An estimated reduction of 0.14tCO2e/hectare per year is estimated. A 5-20% reduction would mean a reduction of 56 -224 MtCO2. The estimated abatement potential is: 132 MtCO2e in 2030	The barriers related to costs and financing are very low. The main barriers are present in the categories of multi-actor complexity and behavior. Improving the nutrient management requires a change in behavior for farmers and also involve a dependence on other actors because new products are needed. Furthermore, it might have an impact on quality of the end-product that could lead to conflicts. 
Electricity from landfill gas	0	1	0	0	0	1	1	1	2	1	1	2	13	This abatement option considers the capturing of landfill gases to generate electricity. The landfill gas is composed mainly out of methane (CH4) and carbon dioxide (CO2). 75% of the landfill can be captured over its lifetime. Direct use of landfill gas is highly net-profit-positive, because of the savings from using it as a fuel for nearby industrial facilities. The estimated abatement potential is: 351 MtCO2e in 2030	The technology is fairly expensive due to the costs of the pipes to recover the gas. Multi-actor complexities might arise as the power plant operator and the owner of the landfill site are often different actors and might not always agree. On a physical level and behavioral level, the implementation barriers are minimal. 
Energy efficiency 1 iron & steel	0	1	0	1	1	0	0	1	0	2	0	2	14	Improving energy efficiency in the iron and steel industry by structural production shifts, improved process flows, innovations on pumping systems, coal moisture control, or heat recovery. Especially, recovering energy from waste heat from the blast furnace could improve the efficiency. Co2? The estimated abatement potential is: 246 MtCO2e in 2030	This carbon abatement option requires a large upfront investment, but can relatively quickly be paid back. Furthermore, improving energy efficiency has its physical impact as processes are complex and need to run 24 hours per day. Also new efficiency technologies are relatively less certain than conventional methods. 
Geothermal	1	1	0	1	1	1	1	2	2	2	2	2	15	This option considers large scale geothermal energy generation. Deep drilling is necessary to generate electricity from geothermal heat. The most widely used technology for generating geothermal energy is the employment of a geothermal fluid passing through a heat exchanger heating another fluid with a low boiling point, which in turn vaporizes and drives a turbine. The emissions of geothermal energy amount to 50 gCO2e/kWh. The estimated abatement potential is: 269	The main barriers originate from the categories of costs and financials and multi-actor complexity. Drilling machinery is very expensive and the power generation is too. On a multi-actor level, barriers mainly originate from social conflicts (earthquakes, soil quality) ad the many hustles with munipiality that often prevent private investments in geothermal projects.
Grassland management	1	0	1	1	0	0	1	1	1	0	0	0	16	Focuses on increased grazing intensity, irrigation of grasslands, fire management and introduction of new species. Central in this approach, les the elimination of any pesticide or fertilizer. The consequence of this approach is that roots go deeper, water-retention increases, plants are more pest-resistant and soil fertility improves. This could lead to an estimated reduction of approximately 0.23 tCO2e/hectare per year.  The estimated abatement potential is: 1343 MtCO2e in 2030	In terms of costs and physical interdependencies there are no significant barriers hampering the implementation of improved grassland management. The main challenges lie in collaboration with multiple farmers that work within the same consortia, or farmers that share the same land. This could potentially lead to unclear responsibilities and conflicts. Furthermore, a change in behavior is required for the farmers. 
High penetration wind	0	1	1	1	1	2	1	2	2	1	2	2	17	This option considers wind energy, with a penetration of the energy mix higher than 10%. This distinction between low and high penetration is made because a high penetration level requires more adaption of the network to account for the variability coming from wind energy.  This means that the costs per MWh move from  €2-3  to  €3-5 per MWh. The estimated abatement potential is: 1043 MtCO2e in 2030	High investment costs are required with fairly high payback times. On a multi-actor level, there are many actors that are dependent on each other for activities as construction, connection to the grid and communication with the local environment. The latter could lead to conflicts between actors. The physical implication on the environment is high and has a high impact on others. It could also disturb regular operations by means of the volatility of the wind energy that needs to be fed into the grid. The impact on a behavioral level is fairly limited. 
Lighting switch to LED (residential)	0	0	1	0	0	0	0	0	0	0	0	1	18	This abatement option considers switching incandescent lighting to LED lighting in residential homes. LED lights are estimated to be 40% more efficient than fluorescent lights and even 80% more efficient than common incandescent lights. The estimated abatement potential is: 221 MtCO2e in 2030	For consumers to switch to LED lighting, there are very few significant barriers to implementation. The current investment costs of a LED are approximately €10. Furthermore, not all consumers are yet fully aware of the advantages that LED bring and are still less known than the most popular incandescent light bulbs. 
Nuclear energy	0	2	0	1	0	1	1	2	2	2	2	2	19	Generating power from nuclear energy is a highly debated option. Reasons for this debate comes from costs, safety and waste. This has hampered a larger introduction of nuclear power plants, but there still is a large potential for GHG reduction.  Emissions from nuclear power plants amount to 90-140 gCO2e/kWh. The estimated abatement potential is: 1840 MtCO2e in 2030	Building nuclear power plants is very capital intensive and takes a very long time as well. This also limits the frequency of opportunity to build one. The size of the project requires many involved actors, not only in construction but also in the supply chain for nuclear energy. The bad reputation of nuclear energy can also lead to conflicts with NGOs  and a bad public opinion. 
PV panels homes	1	0	1	0	0	1	0	1	0	1	1	1	20	Installing solar energy on the homes of individual house owners. Producing solar energy has no emissions. Construction of the panels accounts for 20-80 gCO2e/kWh. The estimated abatement potential is: 1216 MtCO2e in 2030	Installing PV panels requires a significant upfront investment that have a pay-back time of about 7 years. Physical implementation might in some cases be hard due to differences in rooftops and position towards the sun. Furthermore, a required change in behavior might be present with the rise of smart grids. 
Reduced deforestation (agriculture)	2	0	1	0	2	2	1	2	2	1	2	1	21	This abatement option considers the decrease of deforestation for agricultural use by compensating landholders from the lost revenue from one-time timber extraction. 70% of deforestation comes from agricultural use and this leads to biodiversity losses, soil erosion and CO2 emissions. The estimated abatement potential is: 1208 MtCO2e in 2030	The costs mainly originate from annual payments to protect areas from being run-over. This investment does however not have a return on investment. Multi-actor complexity arises from the distribution and generation of the finances. Furthermore, preventing an event to happen is harder than implanting new practices. The ultimate goal of this carbon abatement option leads to a high physical embeddedness. On a behavioral level, local people need to find new occupations as their main source of income changes. 
Reduced deforestation (timber harvesting)	2	0	1	0	2	2	1	2	2	1	2	1	22	This abatement option considers reduction of emissions from deforestation due to unsustainable timber extraction through compensation to landholders for lost timber revenue. The estimated abatement potential is: 262 MtCO2e in 2030	The costs mainly originate from annual payments to protect areas from being run-over. This investment does however not have a return on investment. Multi-actor complexity arises from the distribution and generation of the finances. Furthermore, preventing an event to happen is harder than implanting new practices. The ultimate goal of this carbon abatement option leads to a high physical embeddedness.  On a behavioral level, timber companies need to embrace sustainable forestry instead of the 'cut it and leave it' business model. 
Residential appliances	1	1	1	1	1	0	0	1	1	1	1	1	23	This abatement option considers the improvement of efficiency within residential homes by replacing appliances, such as refrigerators, washers, dishwashers and air conditioning with higher efficiency models. This also involves the smart usage of these appliances, by using sensors to analyze the right moment to use energy. The estimated abatement potential is: 255 MtCO2e in 2030	The barriers to implementation for improving efficiency of residential appliances are spread over all four Y-factor categories. There are upfront investments needed that are often slightly more expensive than for conventional appliances. The multi-actor complexity mainly arises when smart networks become more upcoming, as this requires new dynamics in collaboration. On a physical level, smart grids also provide uncertainties. Behavioral changes originate from having to use new equipment in a different way on different times. 
Small hydro	1	1	0	0	1	2	0	1	2	1	2	2	24	This abatement option considers the small scale generation of hydropower of an installed capacity around 25-50 MW. There is high potential for this abatement option as only 25% of the potential has been developed. This small scale hydropower is mainly generated by obtaining energy from river flow. The estimated abatement potential is: 329 MtCO2e in 2030	The main implementation barrier is the necessity for available upfront financials.  The pay-back time approximates 20 years. As the projects are very large, the amount of actors involved is large and their dependence on each other is high. On a physical level, the impact on the physical environment is present. Especially when it comes to introducing dam-projects. 
